Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
4,M050,P.S. 964 - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/23/2024,DIIR,6/24/2024,DIIR,60000.0,60000.0,DSF0001086189
4,M050,NY CENTER FOR AUTISM CHARTER - M,DOE - RESOA,FY22 RESO A BATHROOM UPGRADES,Construction,In-Progress,8/11/2023,DOER,,DOER,189281.0,0.0,DSF0001033687
4,M057,P.S. 57 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Scope,Complete,7/27/2018,12/13/2018,3/21/2019,124610,151060.0,142752.0,DSF0000889342
4,M057,P.S. 57 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Design,Complete,11/6/2019,4/27/2020,5/14/2021,623050,432586.0,416401.0,DSF0000889342
4,M057,P.S. 57 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Construction,In-Progress,7/20/2022,7/18/2024,,14018625,14239778.0,3532621.0,DSF0000889342
4,M057,P.S. 57 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,"CM,F&E",In-Progress,7/20/2022,7/18/2024,,872270,940054.0,936589.0,DSF0000889342
4,M057,P.S. 57 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,6/2/2022,9/30/2022,6/9/2022,3426,2681.0,2681.0,DSF0001034624
4,M057,P.S. 57 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,6/9/2022,12/6/2022,10/25/2022,15415,10723.0,10723.0,DSF0001034624
4,M057,P.S. 57 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,4/17/2023,3/11/2024,,198679,186643.0,150344.0,DSF0001034624
4,M057,P.S. 57 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,4/17/2023,3/11/2024,,142519,132775.0,118785.0,DSF0001034624
4,M057,P.S. 57 - MANHATTAN,SCA IEH,"PO18-AUDITORIUM MATERIALS FOR MOLD REMOVAL/REPLACEMENT: REMOVE 12X12 BEIGE & PEACH FLOOR TILES, 100",Construction,Complete,5/26/2023,IEH,5/3/2024,IEH,37626.0,37626.0,SCA0000072021
4,M057,P.S. 57 - MANHATTAN,DOE - Skilled Trades,SEWAGE EJECTOR PUMP REPLACEMENT,Construction,Complete,1/10/2024,DOES,2/21/2024,DOES,62238.0,32899.0,DSF0001096234
4,M072,P.S. 72 - MANHATTAN,SCA CIP,ROOF REPLACEMENT / EXTERIOR MASONRY,Scope,Complete,7/13/2023,11/29/2023,11/7/2023,34411,54760.0,46977.0,"DSF0001085177, DSF0001111826"
4,M072,P.S. 72 - MANHATTAN,SCA CIP,ROOF REPLACEMENT / EXTERIOR MASONRY,Design,Complete,11/17/2023,4/22/2024,4/24/2024,172055,65536.0,59263.0,"DSF0001085177, DSF0001111826"
4,M072,P.S. 72 - MANHATTAN,SCA CIP,ROOF REPLACEMENT / EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,3871250,3871250.0,19297.0,"DSF0001085177, DSF0001111826"
4,M072,P.S. 72 - MANHATTAN,SCA CIP,ROOF REPLACEMENT / EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,240877,240877.0,42556.0,"DSF0001085177, DSF0001111826"
4,M072,P.S. 72 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,6/14/2022,10/13/2022,6/28/2022,4689,3970.0,3970.0,DSF0001034582
4,M072,P.S. 72 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,6/28/2022,12/23/2022,10/25/2022,21099,15878.0,15878.0,DSF0001034582
4,M072,P.S. 72 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,4/17/2023,3/11/2024,,271948,248967.0,207543.0,DSF0001034582
4,M072,P.S. 72 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,4/17/2023,3/11/2024,,155435,127023.0,113021.0,DSF0001034582
4,M072,P.S. 72 - MANHATTAN,SCA Emergency Response,EMERGENCY STABILIZATION- SIDEWALK BRIDGE @ PS72M,Construction,In-Progress,10/2/2023,EMER,,EMER,174508.0,94135.0,SCA0000072367
4,M072,P.S. 72 - MANHATTAN,SCA IEH,PO18-ABATE FIBERGLASS INSULATION ABOUT 100 LINEAR FEET NEEDS TO BE REMOVED BASEMENT,Construction,Complete,9/27/2023,IEH,6/25/2024,IEH,1162.0,412.0,SCA0000072353
4,M072,P.S. 72 - MANHATTAN,SCA IEH,PO18-AUDITORIUM CIELING SOFFIT LEAKING DETERIORATED PLASTER AND CEMENT BOARD ADHERA BOOK REINSPECTIO,Construction,Complete,12/14/2023,IEH,1/3/2024,IEH,1592.0,617.0,SCA0000072566
4,M072,P.S. 72 - MANHATTAN,Fast Track Projects,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,7/13/2021,FTK,,FTK,119228.0,111965.0,DSF0000912082
4,M072,P.S. 72 - MANHATTAN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,100000.0,0.0,DSF0000889840
4,M072,P.S. 72 - MANHATTAN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,100000.0,0.0,DSF0000890161
4,M072,P.S. 72 - MANHATTAN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,1/23/2024,DOEL,,DOEL,55323.0,50323.0,
4,M072,P.S. 72 - MANHATTAN,DOE - RESOA,FY17 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,79400.0,0.0,DSF0000844208
4,M072,P.S. 72 - MANHATTAN,DOE - RESOA,FY22 RESO A BATHROOM UPGRADES,Construction,In-Progress,11/1/2022,DOER,,DOER,197247.0,0.0,DSF0001033636
4,M072,P.S. 72 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,6/22/2022,DOES,,DOES,444648.0,0.0,DSF0000992462
4,M083,P.S. 83 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,2/4/2020,7/6/2020,4/2/2020,59840,81393.0,81393.0,"DSF0000960648, DSF0000943795"
4,M083,P.S. 83 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,4/3/2020,9/2/2020,7/16/2020,299201,420613.0,351279.0,"DSF0000960648, DSF0000943795"
4,M083,P.S. 83 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,9/20/2021,9/19/2023,,6732000,6358626.0,4965562.0,"DSF0000960648, DSF0000943795"
4,M083,P.S. 83 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,9/20/2021,9/19/2023,,420477,887458.0,866268.0,"DSF0000960648, DSF0000943795"
4,M083,P.S. 83 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,9/29/2023,2/20/2024,11/9/2023,173903,119026.0,112149.0,"DSF0001068739, DSF0001111834, DSF0001111833, DSF0001111832"
4,M083,P.S. 83 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / PARAPETS / EXTERIOR MASONRY,Design,Complete,12/20/2023,5/22/2024,5/7/2024,869516,320635.0,320515.0,"DSF0001068739, DSF0001111834, DSF0001111833, DSF0001111832"
4,M083,P.S. 83 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / PARAPETS / EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,19564118,19564118.0,39842.0,"DSF0001068739, DSF0001111834, DSF0001111833, DSF0001111832"
4,M083,P.S. 83 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,1217322,1217322.0,42192.0,"DSF0001068739, DSF0001111834, DSF0001111833, DSF0001111832"
4,M083,P.S. 83 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,5/3/2024,9/4/2024,5/14/2024,3549,1661.0,1661.0,DSF0001087473
4,M083,P.S. 83 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,In-Progress,5/14/2024,11/8/2024,,15969,15969.0,6643.0,DSF0001087473
4,M083,P.S. 83 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,PNS,PNS,PNS,205818,205818.0,0.0,DSF0001087473
4,M083,P.S. 83 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,PNS,PNS,PNS,38147,38147.0,155.0,DSF0001087473
4,M083,P.S. 83 - MANHATTAN,SCA IEH,"PO18-ABATE AND REPAIR FLOOR TILES IN THE GYM  2ND FLOOR APPROXIMATELY 64 SQFT. FLOOR TILES 9X9, CRAC",Construction,In-Progress,3/28/2024,IEH,,IEH,963.0,388.0,SCA0000072884
4,M083,P.S. 182 - MANHATTAN,DOE - RESOA,FY18 RESO A PLAYGROUNDS,Construction,In-Progress,11/27/2019,DOER,,DOER,93994.0,0.0,DSF0000866427
4,M083,P.S. 83 - MANHATTAN,DOE - RESOA,FY24 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,450000.0,0.0,DSF0001086201
4,M096,P.S. 96 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / LOW VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,2/18/2020,7/17/2020,4/27/2020,96801,136910.0,136910.0,"DSF0000960649, DSF0000960650, DSF0000943905"
4,M096,P.S. 96 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / LOW VOLTAGE ELECTRICAL SYSTEM,Design,Complete,4/28/2020,9/28/2020,10/29/2020,484003,585876.0,518688.0,"DSF0000960649, DSF0000960650, DSF0000943905"
4,M096,P.S. 96 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / LOW VOLTAGE ELECTRICAL SYSTEM,Construction,In-Progress,8/4/2022,8/2/2024,,10890057,9983870.0,7484717.0,"DSF0000960649, DSF0000960650, DSF0000943905"
4,M096,P.S. 96 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / LOW VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",In-Progress,8/4/2022,8/2/2024,,677603,376278.0,374329.0,"DSF0000960649, DSF0000960650, DSF0000943905"
4,M096,P.S. 96 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS,Scope,In-Progress,5/10/2024,9/26/2024,,,495.0,495.0,"DSF0001096581, DSF0001096585"
4,M096,P.S. 96 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS,Design,PNS,PNS,PNS,PNS,,1983.0,1983.0,"DSF0001096581, DSF0001096585"
4,M096,P.S. 96 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS,Construction,PNS,PNS,PNS,PNS,,5550.0,0.0,"DSF0001096581, DSF0001096585"
4,M096,P.S. 96 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS,"CM,F&E",PNS,PNS,PNS,PNS,0,2815.0,2815.0,"DSF0001096581, DSF0001096585"
4,M096,P.S. 96 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,7/11/2022,11/8/2022,8/18/2022,3986,3925.0,3925.0,DSF0001034599
4,M096,P.S. 96 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,8/18/2022,2/16/2023,10/25/2022,17936,15702.0,15702.0,DSF0001034599
4,M096,P.S. 96 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,4/17/2023,3/11/2024,,231173,215491.0,177349.0,DSF0001034599
4,M096,P.S. 96 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,4/17/2023,3/11/2024,,141724,121111.0,109894.0,DSF0001034599
4,M096,P.S. 96 - MANHATTAN,DOE - RESOA,RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,764952.0,0.0,DSF0001008937
4,M096,P.S. 96 - MANHATTAN,DOE - RESOA,FY23 RESO A BATHROOM UPGRADE,Construction,In-Progress,4/1/2024,DOER,,DOER,101050.0,0.0,DSF0001035321
4,M099,I.S. 224 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Scope,Complete,5/21/2020,1/29/2021,9/24/2020,14880,29371.0,29371.0,DSF0000875653
4,M099,I.S. 224 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Design,Complete,10/14/2020,7/28/2021,8/18/2021,66960,109204.0,109204.0,DSF0000875653
4,M099,I.S. 224 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Construction,In-Progress,7/1/2022,6/30/2023,,863040,784287.0,422232.0,DSF0000875653
4,M099,I.S. 224 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,"CM,F&E",In-Progress,7/1/2022,6/30/2023,,159960,138002.0,100642.0,DSF0000875653
4,M099,I.S. 224 - MANHATTAN,SCA IEH,PO18-ABATE AND REPLACE FLOOR TILES IN ROOM 206 APPROX. 672SF,Construction,Complete,9/27/2023,IEH,4/8/2024,IEH,48296.0,481.0,SCA0000072351
4,M099,I.S. 224 - MANHATTAN,SCA IEH,PO18-THERE IS A POSSIBLE STEAM LEAK IN THE CEILING ROOM 460. THE CEILING HAS ACM BASED IN THE AHERA,Construction,Complete,1/26/2024,IEH,1/27/2024,IEH,20133.0,18887.0,SCA0000072678
4,M099,I.S. 224 - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/20/2024,DIIR,5/24/2024,DIIR,50000.0,50000.0,DSF0001086210
4,M099,RENNAISSANCE CHARTER HS - MANHATTAN,DOE - Skilled Trades,ACE BOILER CONTROLS UPGRADE,Construction,In-Progress,10/16/2023,DOES,,DOES,62543.0,0.0,DSF0000866119
4,M099,I.S. 224 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,3/11/2024,DOES,,DOES,518284.0,0.0,DSF0001085736
4,M099,I.S. 224 - MANHATTAN,DOE - Skilled Trades,CAFETERIA CEILING TILE REPLACEMENT,Construction,Complete,12/13/2023,DOES,3/28/2024,DOES,177265.0,160487.0,DSF0001111879
4,M101,PS/IS 375 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Scope,Complete,5/26/2020,2/2/2021,10/15/2020,15640,20989.0,20989.0,DSF0000890568
4,M101,PS/IS 375 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Design,Complete,11/3/2020,7/28/2021,7/28/2021,70380,83996.0,83996.0,DSF0000890568
4,M101,PS/IS 375 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Construction,In-Progress,6/24/2022,6/23/2023,,907120,831181.0,709154.0,DSF0000890568
4,M101,PS/IS 375 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,"CM,F&E",In-Progress,6/24/2022,6/23/2023,,168130,136659.0,113121.0,DSF0000890568
4,M101,PS/IS 375 - MANHATTAN,DIIT - IPDVS,DIIT IPDVS SERVER REFRESH,Purch & Install,Complete,10/26/2022,IPDV,12/19/2022,DIIS,50000.0,39879.0,DSF0001034762
4,M101,PS/IS 375 - MANHATTAN,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,In-Progress,10/2/2023,DOER,,DOER,229748.0,0.0,DSF0001035657
4,M101,PS/IS 375 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,1/15/2024,DOES,2/7/2024,DOES,65832.0,9237.0,DSF0001084208
4,M102,P.S. 102 - MANHATTAN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Scope,Complete,4/9/2021,9/9/2021,6/14/2021,75000,99452.0,99452.0,"DSF0000992739, DSF0000798322"
4,M102,P.S. 102 - MANHATTAN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Design,Complete,6/16/2021,11/17/2021,11/4/2021,375000,476990.0,413953.0,"DSF0000992739, DSF0000798322"
4,M102,P.S. 102 - MANHATTAN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Construction,In-Progress,8/8/2022,8/6/2024,,8437501,7686812.0,5197595.0,"DSF0000992739, DSF0000798322"
4,M102,P.S. 102 - MANHATTAN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,"CM,F&E",In-Progress,8/8/2022,8/6/2024,,525000,869128.0,856515.0,"DSF0000992739, DSF0000798322"
4,M102,P.S. 102 - MANHATTAN,SCA IEH,PO18-ACM TESTING FOR CEILING PLASTER IN ROOM 557 ( SPACE ID 6006) THERE IS TWO LOCATIONS IN THAT ROO,Construction,Complete,1/19/2024,IEH,1/20/2024,IEH,23691.0,22113.0,SCA0000072667
4,M102,P.S. 102 - MANHATTAN,SCA IEH,"PO18-REPAIR/ ENCAPSULATE AND PAINT  ASBESTOS WALL, COLUMN, SOFFIT CEILING AND ACOUSTICAL PLASTER IN",Construction,Complete,3/1/2024,IEH,3/4/2024,IEH,100729.0,1255.0,SCA0000072785
4,M102,P.S. 102 - MANHATTAN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,9/20/2023,DOEL,3/26/2024,DOEL,97853.0,97853.0,
4,M102,M169 SPED - MANHATTAN,DOE - RESOA,FY14 RESO A PLAYGROUND REDEVELOPMEN,Construction,PNS,PNS,PNS,PNS,DOER,75000.0,0.0,DSF0000798674
4,M102,P.S. 102 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,8/12/2022,DOES,,DOES,95448.0,0.0,DSF0001009113
4,M107,THE HERITAGE SCHOOL - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,1/11/2023,5/11/2023,1/24/2023,2412,2397.0,2397.0,DSF0001034552
4,M107,THE HERITAGE SCHOOL - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,1/24/2023,7/20/2023,4/11/2023,10852,9588.0,9588.0,DSF0001034552
4,M107,THE HERITAGE SCHOOL - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,10/3/2023,10/1/2024,,139875,128525.0,2993.0,DSF0001034552
4,M107,THE HERITAGE SCHOOL - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,10/3/2023,10/1/2024,,30189,17425.0,17010.0,DSF0001034552
4,M107,THE HERITAGE SCHOOL - MANHATTAN,DOE - RESOA,FY22 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,8/25/2022,DOER,,DOER,34498.0,0.0,DSF0001033727
4,M107,THE HERITAGE SCHOOL - MANHATTAN,DOE - RESOA,FY23 RESO A WATER FOUNTAIN UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,30194.0,0.0,DSF0001035660
4,M107,THE HERITAGE SCHOOL - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/6/2017,DOES,,DOES,252768.0,0.0,DSF0000866002
4,M108,P.S. 108 - MANHATTAN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Scope,Complete,6/29/2023,10/30/2023,10/13/2023,9767,15547.0,15547.0,DSF0001083801
4,M108,P.S. 108 - MANHATTAN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Design,Complete,10/25/2023,3/26/2024,3/20/2024,43953,40527.0,39621.0,DSF0001083801
4,M108,P.S. 108 - MANHATTAN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Construction,PNS,PNS,PNS,PNS,566502,566502.0,11340.0,DSF0001083801
4,M108,P.S. 108 - MANHATTAN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,"CM,F&E",PNS,PNS,PNS,PNS,104998,104998.0,13214.0,DSF0001083801
4,M108,P.S. 108 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY / PARAPETS,Scope,Complete,10/25/2018,11/1/2019,11/22/2019,128458,220432.0,217735.0,"DSF0000875726, DSF0000898613, DSF0000898614, DSF0000898617, DSF0000944037"
4,M108,P.S. 108 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY / PARAPETS,Design,Complete,12/3/2019,5/5/2020,6/29/2020,634424,531428.0,501164.0,"DSF0000875726, DSF0000898613, DSF0000898614, DSF0000898617, DSF0000944037"
4,M108,P.S. 108 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY / PARAPETS,Construction,In-Progress,8/23/2021,10/1/2023,,13593915,12714329.0,11840184.0,"DSF0000875726, DSF0000898613, DSF0000898614, DSF0000898617, DSF0000944037"
4,M108,P.S. 108 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY / PARAPETS,"CM,F&E",In-Progress,8/23/2021,10/1/2023,,958221,836435.0,829680.0,"DSF0000875726, DSF0000898613, DSF0000898614, DSF0000898617, DSF0000944037"
4,M108,P.S. 108 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,1/24/2023,5/23/2023,2/13/2023,4119,3344.0,3344.0,DSF0001034616
4,M108,P.S. 108 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2/13/2023,8/9/2023,4/11/2023,18537,13377.0,13377.0,DSF0001034616
4,M108,P.S. 108 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,10/3/2023,10/1/2024,,238925,210107.0,4137.0,DSF0001034616
4,M108,P.S. 108 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,10/3/2023,10/1/2024,,48548,17972.0,17972.0,DSF0001034616
4,M108,M138 SPED - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,7/12/2023,DIIR,10/26/2023,DIIR,51000.0,51000.0,DSF0001035662
4,M108,P.S. 108 - MANHATTAN,DOE - RESOA,FY17 RESO A SUPPLEMENTAL COOLING,Construction,In-Progress,12/10/2019,DOER,,DOER,212061.0,0.0,DSF0000844856
4,M108,P.S. 108 - MANHATTAN,DOE - RESOA,FY19 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,5/1/2018,DOER,,DOER,36612.0,0.0,DSF0000890663
4,M108,P.S. 108 - MANHATTAN,DOE - RESOA,FY20 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,250000.0,0.0,DSF0000913310
4,M108,P.S. 108 - MANHATTAN,DOE - RESOA,FY22 RESO A HYDROPONICS LAB,Construction,In-Progress,7/15/2022,DOER,,DOER,174853.0,0.0,DSF0001033162
4,M108,P.S. 108 - MANHATTAN,DOE - RESOA,FY23 RESO A STEM LAB,Construction,In-Progress,10/2/2023,DOER,,DOER,100141.0,0.0,DSF0001035661
4,M112,P.S. 112 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Scope,Complete,7/8/2019,11/21/2019,10/3/2019,173003,184696.0,129196.0,DSF0000912339
4,M112,P.S. 112 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Design,Complete,3/3/2021,8/17/2021,3/27/2023,865016,975947.0,504134.0,DSF0000912339
4,M112,P.S. 112 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Construction,In-Progress,7/17/2023,1/1/2026,,19462868,17700144.0,609983.0,DSF0000912339
4,M112,P.S. 112 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,"CM,F&E",In-Progress,7/17/2023,1/1/2026,,1211023,201226.0,187298.0,DSF0000912339
4,M112,P.S. 112 - MANHATTAN,DOE - RESOA,FY24 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,10/2/2023,DOER,,DOER,150000.0,0.0,DSF0001086213
4,M117,I.S. 12 - MANHATTAN,SCA IEH,PO18-R/R STEAM LEAK IN RM EB11 (TEST WALL),Construction,In-Progress,12/22/2023,IEH,,IEH,969.0,394.0,SCA0000072591
4,M117,I.S. 12 - MANHATTAN,SCA IEH,"PO18-ABATEMENT OF COATING OVER FIBERGLASS CEILING TILES IN ROOM 311(MENS LOUNGE ROOM), FLOOR TILES,",Construction,Complete,2/15/2024,IEH,6/7/2024,IEH,42049.0,4030.0,SCA0000072743
4,M117,I.S. 12 - MANHATTAN,SCA Furniture & Equipment,FY23 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,75000,75000.0,0.0,DSF0001035669
4,M117,M138 SPED - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,55000.0,0.0,DSF0001086217
4,M117,I.S. 12 - MANHATTAN,DOE - RESOA,FY23 RESO A SUPPLEMENTAL COOLING,Construction,In-Progress,1/2/2024,DOER,,DOER,422002.0,0.0,DSF0001035326
4,M117,I.S. 12 - MANHATTAN,DOE - Skilled Trades,ACE BOILER BURNER CONVERSIONS,Construction,In-Progress,5/24/2021,DOES,,DOES,2974717.0,0.0,DSF0000912465
4,M117,I.S. 12 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,3/18/2022,DOES,,DOES,173826.0,0.0,DSF0001008693
4,M117,I.S. 12 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,6/30/2023,DOES,,DOES,464694.0,0.0,DSF0001035128
4,M121,P.S. 38 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION,Scope,Complete,5/4/2023,9/20/2023,11/7/2023,58698,97891.0,93841.0,"DSF0001069181, DSF0001069183, DSF0001111816, DSF0001111815"
4,M121,P.S. 38 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION,Design,Complete,11/27/2023,4/29/2024,4/29/2024,285575,177666.0,91932.0,"DSF0001069181, DSF0001069183, DSF0001111816, DSF0001111815"
4,M121,P.S. 38 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,5740485,5740485.0,51914.0,"DSF0001069181, DSF0001069183, DSF0001111816, DSF0001111815"
4,M121,P.S. 38 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION,"CM,F&E",PNS,PNS,PNS,PNS,470281,470281.0,59761.0,"DSF0001069181, DSF0001069183, DSF0001111816, DSF0001111815"
